occurrence_id,latitude,longitude,state,label,b2_blue,b3_green,b4_red,b8_nir,b11_swir1,b12_swir2,ferrous_iron_index,swir_alteration_index,clay_carbonate_index,ndvi,elevation_m,slope_deg,aspect_deg,aspect_sin,aspect_cos,tri_roughness,dist_to_fault_km,dist_to_lineament_km,lithology,spatial_block_id,spatial_split,lst,soil_moisture,rainfall
MN_OCC_0001,21.92946,80.35034,Madhya Pradesh / Maharashtra,1,0.055,0.137,0.1932,0.2638,0.2681,0.1703,3.5138,1.5744,1.0162,0.154485438762716,569.51,16.34,7.41,0.129,0.9916,13.55,0.65,0.65,Precambrian Granitic Gneiss,21_80,validation,34.84,0.1148,1667.6
MN_OCC_0002,29.96588,69.38662,Other State,1,0.0573,0.0975,0.1812,0.1995,0.2926,0.1976,3.1632,1.4805,1.4664,0.04806921967633395,316.98,19.83,71.88,0.9504,0.311,16.39,2.31,1.62,Gondwana Supergroup Metasediment,29_69,test,37.32,0.0947,1227.0
MN_OCC_0003,18.27479,83.55025,Odisha,1,0.0643,0.0902,0.1265,0.3128,0.4138,0.2551,1.9673,1.6222,1.3227,0.42408280427315215,307.92,11.04,246.32,-0.9158,-0.4016,10.03,2.19,0.06,Sausar Group Metamorphic,18_83,validation,33.02,0.1916,1613.0
MN_OCC_0004,21.82947,80.26034,Madhya Pradesh / Maharashtra,1,0.0504,0.1198,0.1512,0.2528,0.3384,0.174,3.0023,1.9445,1.3386,0.251484526028401,360.59,16.19,31.86,0.5278,0.8494,19.57,0.7,0.08,Gondwana Supergroup Metasediment,21_80,validation,35.65,0.1375,1586.9
MN_OCC_0005,21.40951,79.43036,Madhya Pradesh / Maharashtra,1,0.0555,0.0963,0.2029,0.2299,0.2906,0.2206,3.6522,1.3175,1.2636,0.062384329056540996,418.89,10.57,26.84,0.4515,0.8923,22.86,4.18,2.66,Gondwana Supergroup Metasediment,21_79,train,36.17,0.1535,1655.1
MN_OCC_0006,21.99947,79.00038,Madhya Pradesh / Maharashtra,1,0.0543,0.087,0.2063,0.2673,0.2996,0.1583,3.7967,1.8928,1.1209,0.12880040371536372,486.53,6.97,262.66,-0.9918,-0.1278,8.63,3.25,3.93,Precambrian Granitic Gneiss,21_79,train,35.03,0.1812,1619.1
MN_OCC_0007,19.1664,83.46695,Odisha,1,0.0448,0.1228,0.1961,0.2586,0.3788,0.2142,4.3782,1.7684,1.4648,0.1374529635958575,120.0,16.61,9.15,0.159,0.9873,6.85,2.27,4.29,Gondwana Supergroup Metasediment,19_83,train,38.27,0.098,1580.6
MN_OCC_0008,21.87447,80.35034,Madhya Pradesh / Maharashtra,1,0.0564,0.1253,0.1429,0.1908,0.2922,0.171,2.5326,1.7089,1.5314,0.1435416735340919,505.1,17.08,289.32,-0.9437,0.3309,20.83,0.66,4.02,Precambrian Granitic Gneiss,21_80,validation,35.54,0.1411,1680.8
MN_OCC_0009,22.88286,79.61656,Other State,1,0.0723,0.1338,0.1518,0.1954,0.281,0.2055,2.0996,1.3674,1.4382,0.12557567518526735,415.53,13.81,2.5,0.0437,0.999,2.0,0.8,0.23,Gondwana Supergroup Metasediment,22_79,train,35.3,0.1115,1673.8
MN_OCC_0010,22.11614,85.3502,Odisha,1,0.0777,0.0994,0.1719,0.2784,0.3055,0.2763,2.2116,1.1054,1.0971,0.23650846877977175,421.46,2.91,102.54,0.9761,-0.2172,17.99,0.12,1.69,Precambrian Granitic Gneiss,22_85,train,34.72,0.1925,1897.2
